txn_id,merchant_id,payer_id,amount,timestamp,status,is_flagged
T000083,M001,P0016,582.03,2025-02-01 00:00:00,completed,False
T000175,M001,P5005,999.0,2025-02-01 18:00:00,completed,True
T000092,M001,P0023,364.08,2025-02-01 23:00:00,failed,False
T000034,M001,P0019,391.39,2025-02-02 00:00:00,completed,False
T000055,M001,P0004,349.44,2025-02-02 04:00:00,completed,False
T000081,M001,P0005,545.89,2025-02-02 04:00:00,completed,False
T000087,M001,P0008,291.63,2025-02-02 07:00:00,completed,False
T000059,M001,P0023,248.38,2025-02-02 19:00:00,completed,False
T000046,M001,P0052,245.94,2025-02-02 23:00:00,completed,False
T000067,M001,P0051,576.75,2025-02-03 01:00:00,completed,False
T000037,M001,P0016,496.17,2025-02-03 05:00:00,completed,False
T000054,M001,P0030,399.6,2025-02-03 20:00:00,completed,False
T000076,M001,P0048,368.86,2025-02-03 21:00:00,completed,False
T000017,M001,P0007,249.29,2025-02-04 02:00:00,completed,False
T000039,M001,P0020,456.5,2025-02-05 18:00:00,completed,False
T000093,M001,P0025,536.34,2025-02-06 11:00:00,completed,False
T000033,M001,P0023,342.27,2025-02-06 16:00:00,completed,False
T000079,M001,P0012,403.26,2025-02-06 21:00:00,completed,False
T000001,M001,P0019,216.57,2025-02-08 19:00:00,completed,False
T000174,M001,P5004,1999.0,2025-02-09 07:00:00,completed,True
T000013,M001,P0053,172.58,2025-02-09 20:00:00,completed,False
T000040,M001,P0040,422.66,2025-02-10 00:00:00,completed,False
T000096,M001,P0012,314.2,2025-02-10 18:00:00,completed,False
T000086,M001,P0012,503.66,2025-02-12 04:00:00,completed,False
T000063,M001,P0055,184.68,2025-02-12 21:00:00,completed,False
T000035,M001,P0011,442.08,2025-02-13 05:00:00,completed,False
T000027,M001,P0058,465.52,2025-02-13 11:00:00,completed,False
T000070,M001,P0005,309.82,2025-02-13 11:00:00,completed,False
T000031,M001,P0032,330.65,2025-02-13 23:00:00,completed,False
T000015,M001,P0001,344.78,2025-02-14 00:00:00,completed,False
T000026,M001,P0006,448.85,2025-02-14 20:00:00,completed,False
T000077,M001,P0005,382.53,2025-02-14 20:00:00,completed,False
T000053,M001,P0008,348.63,2025-02-15 05:00:00,completed,False
T000049,M001,P0041,10.0,2025-02-15 17:00:00,completed,False
T000057,M001,P0037,389.27,2025-02-15 20:00:00,failed,False
T000058,M001,P0031,410.79,2025-02-15 20:00:00,failed,False
T000127,M001,P0003,10.0,2025-02-16 16:00:00,completed,False
T000126,M001,P0045,593.43,2025-02-16 18:00:00,completed,False
T000102,M001,P0029,530.57,2025-02-17 04:00:00,completed,False
T000161,M001,P0045,238.08,2025-02-17 14:00:00,completed,False
T000113,M001,P0010,555.04,2025-02-18 15:00:00,failed,False
T000159,M001,P0015,619.62,2025-02-18 18:00:00,completed,False
T000178,M001,P5008,1999.0,2025-02-20 06:00:00,completed,True
T000168,M001,P0050,409.34,2025-02-20 11:00:00,completed,False
T000156,M001,P0057,786.41,2025-02-21 04:00:00,completed,False
T000109,M001,P0047,506.84,2025-02-21 11:00:00,completed,False
T000155,M001,P0056,638.93,2025-02-21 19:00:00,completed,False
T000162,M001,P0004,892.5,2025-02-21 21:00:00,completed,False
T000148,M001,P0047,519.12,2025-02-22 02:00:00,completed,False
T000104,M001,P0004,288.88,2025-02-22 12:00:00,completed,False
T000101,M001,P0050,435.0,2025-02-22 13:00:00,completed,False
T000115,M001,P0050,181.42,2025-02-23 03:00:00,completed,False
T000114,M001,P0012,531.42,2025-02-23 05:00:00,completed,False
T000169,M001,P0001,423.74,2025-02-26 08:00:00,completed,False
T000128,M001,P0054,459.76,2025-02-27 00:00:00,failed,False
T000165,M001,P0056,240.56,2025-02-28 10:00:00,completed,False
T000118,M001,P0035,413.46,2025-02-28 13:00:00,completed,False
T000147,M001,P0059,462.06,2025-03-01 23:00:00,completed,False
T000112,M001,P0053,574.7,2025-03-02 00:00:00,completed,False
T000117,M001,P0028,642.56,2025-03-04 08:00:00,completed,False
T000134,M001,P0017,534.14,2025-03-04 09:00:00,completed,False
T000153,M001,P0047,734.42,2025-03-05 14:00:00,completed,False
T000119,M001,P0002,611.29,2025-03-05 18:00:00,completed,False
T000106,M001,P0003,721.3,2025-03-06 06:00:00,completed,False
T000103,M001,P0052,282.79,2025-03-06 07:00:00,completed,False
T000177,M001,P5007,999.0,2025-03-07 13:00:00,pending,True
T000140,M001,P0018,502.26,2025-03-08 04:00:00,completed,False
T000110,M001,P0060,558.38,2025-03-08 10:00:00,completed,False
T000170,M001,P0011,313.72,2025-03-09 07:00:00,completed,False
T000146,M001,P0026,613.63,2025-03-09 13:00:00,completed,False
T000141,M001,P0012,752.44,2025-03-09 20:00:00,completed,False
T000157,M001,P0004,431.28,2025-03-09 20:00:00,completed,False
T000166,M001,P0044,686.26,2025-03-10 09:00:00,completed,False
T000137,M001,P0016,235.38,2025-03-10 22:00:00,completed,False
T000135,M001,P0013,499.07,2025-03-11 04:00:00,completed,False
T000152,M001,P0010,447.38,2025-03-12 03:00:00,completed,False
T000108,M001,P0033,615.63,2025-03-12 23:00:00,completed,False
T000145,M001,P0052,592.13,2025-03-13 03:00:00,completed,False
T000143,M001,P0022,493.76,2025-03-14 08:00:00,completed,False
T000122,M001,P0013,335.4,2025-03-14 16:00:00,completed,False
T000150,M001,P0039,251.14,2025-03-15 09:00:00,completed,False
T000107,M001,P0013,690.67,2025-03-15 19:00:00,completed,False
T000144,M001,P0048,364.98,2025-03-17 10:00:00,completed,False
T000129,M001,P0002,596.81,2025-03-17 16:00:00,completed,False
T000120,M001,P0059,721.5,2025-03-17 17:00:00,completed,False
T000133,M001,P0029,785.89,2025-03-17 22:00:00,completed,False
T000158,M001,P0055,406.1,2025-03-17 23:00:00,completed,False
T000160,M001,P0038,521.78,2025-03-17 23:00:00,completed,False
T000105,M001,P0027,546.64,2025-03-18 18:00:00,completed,False
T000139,M001,P0058,570.17,2025-03-19 02:00:00,completed,False
T000163,M001,P0026,431.21,2025-03-20 19:00:00,completed,False
T000121,M001,P0025,544.32,2025-03-20 21:00:00,failed,False
T000142,M001,P0014,857.25,2025-03-21 16:00:00,completed,False
T000131,M001,P0034,322.51,2025-03-21 17:00:00,completed,False
T000111,M001,P0041,503.68,2025-03-22 18:00:00,completed,False
T000116,M001,P0036,421.14,2025-03-24 08:00:00,pending,False
T000125,M001,P0014,432.49,2025-03-24 09:00:00,completed,False
T000172,M001,P5002,1499.0,2025-03-24 13:00:00,pending,True
T000132,M001,P0024,194.12,2025-03-25 00:00:00,completed,False
T000124,M001,P0053,427.34,2025-03-25 02:00:00,completed,False
T000164,M001,P0011,453.99,2025-03-25 04:00:00,failed,False
T000130,M001,P0060,705.29,2025-03-26 05:00:00,pending,False
T000151,M001,P0017,384.02,2025-03-26 21:00:00,completed,False
T000167,M001,P0035,858.48,2025-03-27 01:00:00,completed,False
T000138,M001,P0056,724.98,2025-03-27 03:00:00,completed,False
T000123,M001,P0005,532.8,2025-03-28 02:00:00,pending,False
T000173,M001,P5003,1499.0,2025-03-30 12:00:00,completed,True
T000149,M001,P0025,324.53,2025-03-30 14:00:00,completed,False
T000136,M001,P0011,560.47,2025-03-30 15:00:00,completed,False
T000154,M001,P0042,583.35,2025-03-31 18:00:00,completed,False
